index,type,date,country,state,location,activity,severity,time
6378,PROVOKED,1887-01-02,SOUTH AFRICA,Western Cape Province,Blaauwberg,,INJURY,
6379,UNPROVOKED,1887-01-01,BRAZIL,Alagoas,Maceió,,FATALITY,
6380,UNPROVOKED,1887-01-01,SOUTH AFRICA,Eastern Cape Province,"Mzimvubu River, 9.6 km from the sea",SWIMMING,FATALITY,NOON
6381,UNPROVOKED,1887-01-01,OCEAN,"Somewhere between Philadelphia and Hiogo, Japan",,BOATING,,
6382,WATERCRAFT,1886-01-08,USA,New Jersey,"Shrewsbury River, Highlands, Monmouth County",,FATALITY,
6383,PROVOKED,1886-01-08,USA,New Jersey,"Sandy Hook Bay, Highlands, Monmouth County",,INJURY,
6384,WATERCRAFT,1886-01-08,USA,New Jersey,"Shrewsbury River, Highlands, Monmouth County",FISHING,,
6385,UNPROVOKED,1886-01-07,USA,Mississippi,"Pass Christian, Hamilton County",SWIMMING,INJURY,NIGHT
6386,UNPROVOKED,1886-01-06,AUSTRALIA,Queensland,Off Bribie Heads,SWIMMING,FATALITY,
6387,,1886-01-06,USA,Hawaii,"Hamakua Homakua, Hawai'i",FISHING,INJURY,
6388,UNPROVOKED,1886-01-05,NEW CALEDONIA,South Province,Noumea,SWIMMING,FATALITY,NOON
6389,UNPROVOKED,1886-01-04,AUSTRALIA,Queensland,Rothesay Bay,,INJURY,
6390,,1886-01-04,NEW ZEALAND,South Island,Near the mouth of the Clarence River,SWIMMING,,
6391,,1886-01-03,NEW ZEALAND,South Island,Dunedin,SWIMMING,,
6392,,1886-01-03,AUSTRALIA,New South Wales,"Dobroyd Head, Watson Bay, Sydney",BOATING,,
6393,WATERCRAFT,1886-01-02,AUSTRALIA,Victoria,Mordialloc,FISHING,,
6394,UNPROVOKED,1886-01-01,SOUTH AFRICA,Eastern Cape Province,"South Jetty, Port Elizabeth",DIVING,INJURY,MORNING
6395,UNPROVOKED,1886-01-01,AUSTRALIA,Queensland,,DIVING,INJURY,
6396,UNPROVOKED,1886-01-01,SOUTH AFRICA,Western Cape Province,Groot River,SWIMMING,FATALITY,
6397,UNPROVOKED,1886-01-01,AUSTRALIA,New South Wales,Sydney Harbor,BOATING,,NOON
6398,WATERCRAFT,1885-01-11,AUSTRALIA,Queensland,Brisbane,,INJURY,
6399,UNPROVOKED,1885-01-11,AUSTRALIA,Western Australia,Bunbury,SWIMMING,INJURY,DUSK
6400,UNPROVOKED,1885-01-08,ATLANTIC OCEAN,,,SWIMMING,FATALITY,
6401,UNPROVOKED,1885-01-07,USA,Hawaii,Kau District,DIVING,,
6402,UNPROVOKED,1885-01-07,USA,Hawaii,Kau District,DIVING,INJURY,
6403,UNPROVOKED,1885-01-07,USA,Hawaii,Kau District,DIVING,FATALITY,
6404,UNPROVOKED,1885-01-04,,,,SWIMMING,FATALITY,
6405,UNPROVOKED,1885-01-04,NEW ZEALAND,North Island,Auckland,SWIMMING,INJURY,
6406,UNPROVOKED,1885-01-03,SOUTH AFRICA,KwaZulu-Natal,Kokstad District,FISHING,INJURY,
6407,UNPROVOKED,1884-01-12,AUSTRALIA,South Australia,Port Phillip,,,
6408,PROVOKED,1884-01-12,FRANCE,Côte d'Azur,Between Nice & Villefranche,,FATALITY,NIGHT
6409,UNPROVOKED,1884-01-08,USA,New Jersey,"Bayonne, Hudson County",BOATING,INJURY,
6410,,1884-01-08,USA,New York,Jamaica Bay,FISHING,,
6411,UNPROVOKED,1884-01-04,BRAZIL,,Bahia,SWIMMING,FATALITY,
6412,UNPROVOKED,1884-01-01,SOUTH AFRICA,Eastern Cape Province,"South Jetty, Port Elizabeth",SWIMMING,FATALITY,
6413,UNPROVOKED,1884-01-01,AUSTRALIA,South Australia,"Port Pirie, Spencer Gulf, 230 km north of Adelaide",SWIMMING,FATALITY,
6414,UNPROVOKED,1883-01-12,AUSTRALIA,New South Wales,Parramatta River,SWIMMING,FATALITY,NOON
6415,UNPROVOKED,1883-01-12,USA,Texas,Brazos,SURFING,FATALITY,
6416,UNPROVOKED,1883-01-10,URUGUAY,Maldonado coast,,SWIMMING,FATALITY,
6417,UNPROVOKED,1883-01-10,USA,East coast,,SWIMMING,FATALITY,
6418,UNPROVOKED,1883-01-10,AUSTRALIA,Tasmania,Between Port Arthur Penal Colony & Forestier Peninsula,SWIMMING,FATALITY,
6419,PROVOKED,1883-01-07,GEORGIA,,"Savannah River, Chatham County",FISHING,INJURY,
6420,UNPROVOKED,1883-01-02,AUSTRALIA,Northern Territory,the pearling beds,DIVING,,
6421,UNPROVOKED,1883-01-02,AUSTRALIA,Northern Territory,the pearling beds,DIVING,FATALITY,
6422,UNPROVOKED,1883-01-01,AUSTRALIA,New South Wales,"Iron Cove, Sydney",SWIMMING,FATALITY,
6423,UNPROVOKED,1883-01-01,PACIFIC OCEAN,,,FISHING,FATALITY,
6424,UNPROVOKED,1883-01-01,USA,Florida,"Fort Pickens, Escambia County",SWIMMING,FATALITY,
6425,,1883-01-01,USA,South Carolina,"Bull’s Bay, near Charleston",,,
6426,UNPROVOKED,1883-01-01,USA,South Carolina,,,FATALITY,
6427,PROVOKED,1882-01-12,NEW ZEALAND,South Island,New Brighton,,,
6428,UNPROVOKED,1882-01-11,NEW ZEALAND,North Island,"Tararu, Thames",SWIMMING,INJURY,MORNING
6429,UNPROVOKED,1882-01-11,NEW ZEALAND,North Island,"Tararu, Thames",SWIMMING,INJURY,MORNING
6430,UNPROVOKED,1882-01-09,JAPAN,,,DIVING,INJURY,
6431,UNPROVOKED,1882-01-05,AUSTRALIA,New South Wales,Millers Point,SWIMMING,INJURY,NOON
6432,UNPROVOKED,1882-01-05,AUSTRALIA,,,DIVING,FATALITY,
6433,UNPROVOKED,1882-01-04,AUSTRALIA,New South Wales,Lake Macquarie,FISHING,FATALITY,
6434,UNPROVOKED,1882-01-02,AUSTRALIA,,,DIVING,FATALITY,
6435,UNPROVOKED,1882-01-01,AUSTRALIA,New South Wales,"Darling Harbor, Sydney",SWIMMING,FATALITY,
6436,UNPROVOKED,1882-01-01,ATLANTIC OCEAN,,,SWIMMING,FATALITY,
6437,UNPROVOKED,1882-01-01,USA,Florida,"In the bay near the naval yard at Pensacola, Escambia County",SURFING,,
6438,UNPROVOKED,1882-01-01,AUSTRALIA,Queensland,Maryborough,,INJURY,
6439,,1881-01-11,AUSTRALIA,New South Wales,"Johnstone's Bay, Sydney",SWIMMING,,DUSK
6440,,1881-01-10,USA,Florida,"Pensacola Bay, Escambia County",SWIMMING,FATALITY,
6441,UNPROVOKED,1881-01-09,USA,North Carolina,"Elizabeth City, Pasquotank County",SWIMMING,FATALITY,MORNING
6442,UNPROVOKED,1881-01-08,,Western Banks,,SWIMMING,FATALITY,
6443,UNPROVOKED,1881-01-08,USA,Rhode Island,Providence,SWIMMING,,
6444,UNPROVOKED,1881-01-07,,,Santa Cruz,SWIMMING,INJURY,
6445,UNPROVOKED,1881-01-06,USA,Alabama,Mobile Bay,SWIMMING,FATALITY,
6446,UNPROVOKED,1881-01-06,INDIA,,"At Panihattu, Barrackpore, Dackhineshwar, Barahonagore, Kashipur & Chitpur down to Baug Bazar ghats",,FATALITY,
6447,WATERCRAFT,1881-01-06,ITALY,Sicily,Stretto di Messina,BOATING,FATALITY,
6448,UNPROVOKED,1880-01-11,AUSTRALIA,Queensland,"Petrie Bight, Brisbane River",SWIMMING,FATALITY,NOON
6449,UNPROVOKED,1880-01-10,AUSTRALIA,New South Wales,Bermagui,BOATING,,
6450,UNPROVOKED,1880-01-08,MOZAMBIQUE,,,SWIMMING,FATALITY,NOON
6451,WATERCRAFT,1880-01-07,USA,New York,The Narrows,BOATING,INJURY,AFTERNOON
